epoch,split,iteration,loss
1,train,10,0.69195
1,train,20,0.69131
1,train,30,0.70438
1,train,40,0.70078
1,train,50,0.65396
1,train,60,0.67765
1,train,70,0.62608
1,train,80,0.74639
1,train,90,0.66711
1,train,100,0.68265
1,train,110,0.74198
1,train,120,0.68748
1,train,130,0.65965
1,train,140,0.70288
1,train,150,0.62786
1,train,160,0.69244
1,train,170,0.6589
1,train,180,0.69282
1,train,190,0.70872
1,train,200,0.63981
1,train,210,0.82993
1,train,220,0.70948
1,train,230,0.73881
1,train,240,0.70151
2,train,10,0.64431
2,train,20,0.71907
2,train,30,0.6168
2,train,40,0.83554
2,train,50,0.91032
2,train,60,0.81794
2,train,70,0.71494
2,train,80,0.6942
2,train,90,0.74257
2,train,100,0.66343
2,train,110,0.69093
2,train,120,0.62345
2,train,130,0.64351
2,train,140,0.6939
2,train,150,0.83931
2,train,160,0.71368
2,train,170,0.68872
2,train,180,0.62118
2,train,190,0.83476
2,train,200,0.63307
2,train,210,0.68813
2,train,220,0.69873
2,train,230,0.54966
2,train,240,0.63115
3,train,10,0.61351
3,train,20,0.64448
3,train,30,0.73801
3,train,40,0.74307
3,train,50,0.65723
3,train,60,0.73174
3,train,70,0.69429
3,train,80,0.76356
3,train,90,0.68756
3,train,100,0.60943
3,train,110,0.50886
3,train,120,0.71442
3,train,130,0.70179
3,train,140,0.6166
3,train,150,0.6486
3,train,160,0.56913
3,train,170,0.80249
3,train,180,0.6888
3,train,190,0.7841
3,train,200,0.61772
3,train,210,0.75553
3,train,220,0.75105
3,train,230,0.71004
3,train,240,0.6237
4,train,10,0.66131
4,train,20,0.66999
4,train,30,0.68228
4,train,40,0.6406
4,train,50,0.72513
4,train,60,0.69948
4,train,70,0.69788
4,train,80,0.64504
4,train,90,0.6674
4,train,100,0.70618
4,train,110,0.65768
4,train,120,0.81327
4,train,130,0.59545
4,train,140,0.78246
4,train,150,0.62563
4,train,160,0.60684
4,train,170,0.60745
4,train,180,0.69635
4,train,190,0.68521
4,train,200,0.71913
4,train,210,0.58149
4,train,220,0.61102
4,train,230,0.83984
4,train,240,0.70978
5,train,10,0.65011
5,train,20,0.55693
5,train,30,0.53009
5,train,40,0.62767
5,train,50,0.72243
5,train,60,0.60729
5,train,70,0.571
5,train,80,0.69154
5,train,90,0.62554
5,train,100,0.75194
5,train,110,0.66438
5,train,120,0.71874
5,train,130,0.73308
5,train,140,0.62563
5,train,150,0.58922
5,train,160,0.63121
5,train,170,0.68645
5,train,180,0.57694
5,train,190,0.72457
5,train,200,0.68237
5,train,210,0.61871
5,train,220,0.78601
5,train,230,0.70275
5,train,240,0.83945
6,train,10,0.67428
6,train,20,0.47314
6,train,30,0.75089
6,train,40,0.75589
6,train,50,0.72412
6,train,60,0.6836
6,train,70,0.77618
6,train,80,0.58487
6,train,90,0.73796
6,train,100,0.73718
6,train,110,0.62243
6,train,120,0.61287
6,train,130,0.61564
6,train,140,0.61013
6,train,150,0.56817
6,train,160,0.51193
6,train,170,0.79594
6,train,180,0.65027
6,train,190,0.66993
6,train,200,0.70902
6,train,210,0.63509
6,train,220,0.7481
6,train,230,0.74715
6,train,240,0.45202
7,train,10,0.54563
7,train,20,0.52678
7,train,30,0.48186
7,train,40,0.61236
7,train,50,0.58838
7,train,60,0.5865
7,train,70,0.69786
7,train,80,0.56016
7,train,90,0.63195
7,train,100,0.83632
7,train,110,0.72134
7,train,120,0.58985
7,train,130,0.87122
7,train,140,0.83162
7,train,150,0.48067
7,train,160,0.77199
7,train,170,0.59295
7,train,180,0.8675
7,train,190,0.653
7,train,200,0.80071
7,train,210,0.60689
7,train,220,0.58899
7,train,230,0.33233
7,train,240,0.70894
8,train,10,0.63808
8,train,20,0.69386
8,train,30,0.8677
8,train,40,0.73314
8,train,50,0.60648
8,train,60,0.69956
8,train,70,0.54986
8,train,80,0.47986
8,train,90,0.63525
8,train,100,0.7933
8,train,110,0.46967
8,train,120,0.93336
8,train,130,0.30464
8,train,140,0.70832
8,train,150,0.44007
8,train,160,0.76389
8,train,170,0.5663
8,train,180,0.43857
8,train,190,0.671
8,train,200,1.3611
8,train,210,0.35566
8,train,220,0.98416
8,train,230,0.76476
8,train,240,0.64875
9,train,10,0.50874
9,train,20,0.51218
9,train,30,0.76379
9,train,40,0.81047
9,train,50,0.53007
9,train,60,0.52307
9,train,70,0.67798
9,train,80,0.47076
9,train,90,0.6933
9,train,100,0.61249
9,train,110,0.57679
9,train,120,0.35062
9,train,130,0.49479
9,train,140,0.66969
9,train,150,0.51796
9,train,160,0.57942
9,train,170,0.84575
9,train,180,0.50641
9,train,190,0.51244
9,train,200,0.76803
9,train,210,0.45766
9,train,220,0.56797
9,train,230,1.09686
9,train,240,0.62332
10,train,10,0.77203
10,train,20,0.63812
10,train,30,0.43312
10,train,40,0.5301
10,train,50,0.41091
10,train,60,0.54983
10,train,70,0.63325
10,train,80,0.48904
10,train,90,0.69109
10,train,100,0.69457
10,train,110,0.61382
10,train,120,0.89059
10,train,130,0.61943
10,train,140,0.69054
10,train,150,0.40945
10,train,160,0.85781
10,train,170,0.71875
10,train,180,0.45902
10,train,190,0.82683
10,train,200,0.67467
10,train,210,0.4162
10,train,220,0.66773
10,train,230,0.36762
10,train,240,0.28739
11,train,10,0.58249
11,train,20,0.467
11,train,30,0.36395
11,train,40,0.82108
11,train,50,0.63401
11,train,60,0.45335
11,train,70,0.62149
11,train,80,0.36287
11,train,90,0.61712
11,train,100,0.67833
11,train,110,0.5422
11,train,120,1.07858
11,train,130,0.73391
11,train,140,0.64991
11,train,150,0.48691
11,train,160,0.57756
11,train,170,0.60732
11,train,180,0.23708
11,train,190,0.20537
11,train,200,1.44198
11,train,210,0.70959
11,train,220,0.56398
11,train,230,0.4221
11,train,240,0.72575
12,train,10,0.55038
12,train,20,0.58044
12,train,30,0.3934
12,train,40,0.59385
12,train,50,0.25091
12,train,60,0.61906
12,train,70,0.64719
12,train,80,0.57843
12,train,90,0.97956
12,train,100,0.42232
12,train,110,1.20214
12,train,120,1.08595
12,train,130,0.98428
12,train,140,0.43506
12,train,150,0.73491
12,train,160,0.40897
12,train,170,1.00775
12,train,180,0.46445
12,train,190,0.6777
12,train,200,0.91845
12,train,210,0.5727
12,train,220,0.62875
12,train,230,0.33794
12,train,240,0.19132
13,train,10,0.43138
13,train,20,0.66061
13,train,30,0.30728
13,train,40,0.60711
13,train,50,0.61307
13,train,60,0.55081
13,train,70,0.42932
13,train,80,0.46555
13,train,90,0.64787
13,train,100,0.27779
13,train,110,0.66047
13,train,120,0.22918
13,train,130,0.72507
13,train,140,0.40349
13,train,150,0.36653
13,train,160,0.39429
13,train,170,0.24587
13,train,180,0.77688
13,train,190,0.36438
13,train,200,0.3697
13,train,210,1.55456
13,train,220,1.09654
13,train,230,0.24749
13,train,240,0.51487
