epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,epoch_time_min
1,0.68994,0.69245,0.4964,0.4381,0.5563,0.48474,12.88
2,0.68836,0.69127,0.49875,0.43007,0.57333,0.5386,12.7
3,0.6783,0.67093,0.57076,0.48794,0.60741,0.58347,12.8
4,0.65653,0.62629,0.64502,0.58728,0.72185,0.65764,12.21
5,0.60684,0.59328,0.73016,0.67704,0.75444,0.70765,12.11
6,0.56024,0.55191,0.78109,0.73821,0.78704,0.74039,12.35
7,0.53154,0.52252,0.80607,0.75081,0.79556,0.74161,12.49
8,0.45203,0.5695,0.87027,0.83266,0.78704,0.75744,12.27
9,0.36586,0.57089,0.91617,0.87492,0.79667,0.771,12.38
10,0.28804,0.68019,0.95077,0.92486,0.79111,0.77883,12.47
11,0.18803,0.79093,0.97882,0.96667,0.78222,0.75764,12.46
