epoch,split,iteration,loss
1,train,10,0.71875
1,train,20,0.81738
1,train,30,0.72266
1,train,40,0.66992
1,train,50,0.71924
1,train,60,0.62891
1,train,70,0.63623
1,train,80,0.57031
1,train,90,0.67969
1,train,100,0.66699
1,train,110,0.76953
1,train,120,0.71436
2,train,10,0.64844
2,train,20,0.63477
2,train,30,0.66846
2,train,40,0.6875
2,train,50,0.68408
2,train,60,0.72754
2,train,70,0.66211
2,train,80,0.67236
2,train,90,0.64795
2,train,100,0.78662
2,train,110,0.65869
2,train,120,0.60547
3,train,10,0.75488
3,train,20,0.65088
3,train,30,0.62744
3,train,40,0.69971
3,train,50,0.6123
3,train,60,0.55664
3,train,70,0.67041
3,train,80,0.67676
3,train,90,0.67041
3,train,100,0.66309
3,train,110,0.65869
3,train,120,0.76318
4,train,10,0.60938
4,train,20,0.69336
4,train,30,0.67285
4,train,40,0.62598
4,train,50,0.61572
4,train,60,0.57471
4,train,70,0.6167
4,train,80,0.69482
4,train,90,0.70117
4,train,100,0.67773
4,train,110,0.68848
4,train,120,0.59424
5,train,10,0.62988
5,train,20,0.61377
5,train,30,0.5249
5,train,40,0.70459
5,train,50,0.73486
5,train,60,0.59668
5,train,70,0.74854
5,train,80,0.57959
5,train,90,0.65918
5,train,100,0.58203
5,train,110,0.65137
5,train,120,0.57178
6,train,10,0.5542
6,train,20,0.36108
6,train,30,0.49097
6,train,40,0.46021
6,train,50,0.44116
6,train,60,0.38306
6,train,70,0.50391
6,train,80,0.46729
6,train,90,0.80322
6,train,100,0.48828
6,train,110,0.82471
6,train,120,0.47925
7,train,10,0.38525
7,train,20,0.32544
7,train,30,0.43726
7,train,40,0.66748
7,train,50,0.51758
7,train,60,0.87012
7,train,70,0.58252
7,train,80,0.74414
7,train,90,1.03906
7,train,100,0.56494
7,train,110,0.4563
7,train,120,0.40869
8,train,10,0.23389
8,train,20,0.34155
8,train,30,0.45752
8,train,40,0.64551
8,train,50,0.24194
8,train,60,0.39844
8,train,70,0.36353
8,train,80,0.54199
8,train,90,0.64014
8,train,100,0.72559
8,train,110,0.76855
8,train,120,0.24438
9,train,10,0.46265
9,train,20,0.30835
9,train,30,0.37598
9,train,40,0.31274
9,train,50,0.56104
9,train,60,0.51221
9,train,70,0.54492
9,train,80,0.45947
9,train,90,0.47217
9,train,100,0.33521
9,train,110,0.35522
9,train,120,0.31177
10,train,10,0.21533
10,train,20,0.28662
10,train,30,0.50732
10,train,40,0.08966
10,train,50,0.19556
10,train,60,0.44141
10,train,70,0.22339
10,train,80,0.60449
10,train,90,0.26343
10,train,100,0.16479
10,train,110,0.15649
10,train,120,0.11871
11,train,10,0.30664
11,train,20,0.07776
11,train,30,0.12805
11,train,40,0.04553
11,train,50,0.3335
11,train,60,0.09503
11,train,70,0.21997
11,train,80,0.04929
11,train,90,0.05658
11,train,100,0.5376
11,train,110,0.48438
11,train,120,0.11072
