epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.69251,0.6942,0.48259,0.4202,0.60185,0.49746
2,0.68727,0.68837,0.50684,0.44222,0.58407,0.52203
3,0.68278,0.68356,0.53588,0.49878,0.5737,0.52697
4,0.67264,0.65492,0.59359,0.50038,0.65704,0.64505
5,0.63729,0.59256,0.67939,0.61596,0.80704,0.7612
6,0.59418,0.55457,0.74658,0.68972,0.83667,0.79176
7,0.54809,0.52651,0.79487,0.73295,0.81926,0.77841
8,0.50196,0.47613,0.83952,0.77389,0.85,0.78974
9,0.42709,0.51826,0.88802,0.86765,0.83148,0.79332
10,0.37508,0.53723,0.91321,0.88819,0.81111,0.72466
