epoch,split,iteration,loss
1,train,10,0.70361
1,train,20,0.67139
1,train,30,0.67139
1,train,40,0.69141
1,train,50,0.66455
1,train,60,0.69043
1,train,70,0.80957
1,train,80,0.75146
1,train,90,0.7002
1,train,100,0.65088
1,train,110,0.67676
1,train,120,0.81445
2,train,10,0.7876
2,train,20,0.69043
2,train,30,0.68896
2,train,40,0.75293
2,train,50,0.71777
2,train,60,0.70508
2,train,70,0.64795
2,train,80,0.45483
2,train,90,0.75439
2,train,100,0.69727
2,train,110,0.72266
2,train,120,0.70068
3,train,10,0.67578
3,train,20,0.6875
3,train,30,0.72266
3,train,40,0.67773
3,train,50,0.70947
3,train,60,0.60205
3,train,70,0.63574
3,train,80,0.69434
3,train,90,0.77832
3,train,100,0.65967
3,train,110,0.61768
3,train,120,0.67578
4,train,10,0.65137
4,train,20,0.72461
4,train,30,0.74316
4,train,40,0.68555
4,train,50,0.68213
4,train,60,0.6084
4,train,70,0.74561
4,train,80,0.67383
4,train,90,0.57129
4,train,100,0.78223
4,train,110,0.6333
4,train,120,0.59326
5,train,10,0.6377
5,train,20,0.63672
5,train,30,0.52002
5,train,40,0.58008
5,train,50,0.53906
5,train,60,0.72559
5,train,70,0.83838
5,train,80,0.72705
5,train,90,0.53857
5,train,100,0.5791
5,train,110,0.81689
5,train,120,0.55371
6,train,10,0.54443
6,train,20,0.81201
6,train,30,0.77002
6,train,40,0.68848
6,train,50,0.50098
6,train,60,0.36304
6,train,70,0.95898
6,train,80,0.49414
6,train,90,0.51465
6,train,100,0.51123
6,train,110,0.48315
6,train,120,0.43457
7,train,10,0.37646
7,train,20,0.35889
7,train,30,0.58398
7,train,40,0.56201
7,train,50,0.58252
7,train,60,0.59326
7,train,70,0.44702
7,train,80,0.49829
7,train,90,0.75146
7,train,100,0.71631
7,train,110,0.46753
7,train,120,0.63721
8,train,10,0.29224
8,train,20,0.53174
8,train,30,0.50635
8,train,40,0.65674
8,train,50,0.86133
8,train,60,0.55078
8,train,70,0.4436
8,train,80,0.49609
8,train,90,0.44287
8,train,100,0.63428
8,train,110,0.80225
8,train,120,0.53027
9,train,10,0.3125
9,train,20,0.32983
9,train,30,0.24829
9,train,40,0.47607
9,train,50,0.43823
9,train,60,0.44238
9,train,70,0.44727
9,train,80,0.44678
9,train,90,0.52734
9,train,100,0.67529
9,train,110,0.51953
9,train,120,0.29858
10,train,10,0.35474
10,train,20,0.18713
10,train,30,0.13098
10,train,40,0.10754
10,train,50,0.53564
10,train,60,0.31226
10,train,70,0.49365
10,train,80,1.16504
10,train,90,0.323
10,train,100,0.62207
10,train,110,0.3479
10,train,120,0.13062
