epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,epoch_time_min
1,0.79172,0.79021,0.49129,0.43041,0.58481,0.55247,13.08
2,0.786,0.78662,0.52118,0.44845,0.62111,0.5639,12.77
3,0.7803,0.77745,0.572,0.47313,0.58148,0.56277,12.9
4,0.76037,0.76294,0.64217,0.57593,0.62852,0.58097,12.82
5,0.72954,0.68914,0.69249,0.64356,0.76519,0.76815,13.01
6,0.66109,0.62641,0.77849,0.72549,0.81593,0.78002,13.42
7,0.6217,0.64312,0.80492,0.76052,0.77185,0.66604,12.97
8,0.52533,0.6028,0.87117,0.83475,0.84222,0.80707,12.98
9,0.42935,0.62359,0.91463,0.87495,0.78667,0.6949,12.9
10,0.33384,0.69877,0.94611,0.91175,0.81259,0.7808,13.09
