epoch,split,iteration,loss
1,train,10,0.83887
1,train,20,0.93848
1,train,30,0.82031
1,train,40,0.77051
1,train,50,0.80469
1,train,60,0.73926
1,train,70,0.74951
1,train,80,0.67383
1,train,90,0.78369
1,train,100,0.77588
1,train,110,0.85156
1,train,120,0.80615
2,train,10,0.76318
2,train,20,0.75732
2,train,30,0.79297
2,train,40,0.78027
2,train,50,0.78174
2,train,60,0.80176
2,train,70,0.76514
2,train,80,0.77686
2,train,90,0.76758
2,train,100,0.85059
2,train,110,0.73145
2,train,120,0.69189
3,train,10,0.8457
3,train,20,0.76807
3,train,30,0.73828
3,train,40,0.7876
3,train,50,0.81006
3,train,60,0.68262
3,train,70,0.78027
3,train,80,0.76758
3,train,90,0.75244
3,train,100,0.84326
3,train,110,0.71533
3,train,120,0.81055
4,train,10,0.72266
4,train,20,0.81787
4,train,30,0.80469
4,train,40,0.76611
4,train,50,0.72705
4,train,60,0.71387
4,train,70,0.79004
4,train,80,0.79688
4,train,90,0.87744
4,train,100,0.72363
4,train,110,0.80713
4,train,120,0.75684
5,train,10,0.76611
5,train,20,0.6792
5,train,30,0.69531
5,train,40,0.74854
5,train,50,0.89844
5,train,60,0.7583
5,train,70,0.78711
5,train,80,0.72412
5,train,90,0.71777
5,train,100,0.72949
5,train,110,0.61328
5,train,120,0.75781
6,train,10,0.69141
6,train,20,0.50879
6,train,30,0.67871
6,train,40,0.51953
6,train,50,0.59424
6,train,60,0.56934
6,train,70,0.604
6,train,80,0.60107
6,train,90,0.71045
6,train,100,0.70557
6,train,110,0.86768
6,train,120,0.46216
7,train,10,0.61572
7,train,20,0.56396
7,train,30,0.62695
7,train,40,0.76318
7,train,50,0.67041
7,train,60,0.50098
7,train,70,0.50928
7,train,80,0.79688
7,train,90,1.20703
7,train,100,0.77295
7,train,110,0.48755
7,train,120,0.59521
8,train,10,0.26709
8,train,20,0.49512
8,train,30,0.55566
8,train,40,0.65869
8,train,50,0.33716
8,train,60,0.60986
8,train,70,0.51367
8,train,80,0.68652
8,train,90,0.44971
8,train,100,0.35107
8,train,110,1.02637
8,train,120,0.27637
9,train,10,0.35986
9,train,20,0.65967
9,train,30,0.55713
9,train,40,0.38818
9,train,50,0.63135
9,train,60,0.69678
9,train,70,0.33472
9,train,80,0.35889
9,train,90,0.67969
9,train,100,0.19067
9,train,110,0.22498
9,train,120,0.25464
10,train,10,0.14783
10,train,20,0.24915
10,train,30,0.51953
10,train,40,0.15222
10,train,50,0.53027
10,train,60,0.44995
10,train,70,0.30005
10,train,80,0.31079
10,train,90,0.38281
10,train,100,0.27368
10,train,110,0.11804
10,train,120,0.31763
