epoch,split,iteration,loss
1,train,10,0.81494
1,train,20,0.80859
1,train,30,0.80078
1,train,40,0.7876
1,train,50,0.73145
1,train,60,0.8335
1,train,70,0.71875
1,train,80,0.67529
1,train,90,0.8291
1,train,100,0.82812
1,train,110,0.82178
1,train,120,0.84131
2,train,10,0.80078
2,train,20,0.70752
2,train,30,0.78906
2,train,40,0.80859
2,train,50,0.7832
2,train,60,0.81885
2,train,70,0.78027
2,train,80,0.74463
2,train,90,0.8335
2,train,100,0.95117
2,train,110,0.73926
2,train,120,0.84521
3,train,10,0.78857
3,train,20,0.82715
3,train,30,0.7793
3,train,40,0.75
3,train,50,0.75732
3,train,60,0.81055
3,train,70,0.76758
3,train,80,0.81641
3,train,90,0.81006
3,train,100,0.77295
3,train,110,0.73193
3,train,120,0.75195
4,train,10,0.82812
4,train,20,0.74707
4,train,30,0.74609
4,train,40,0.77148
4,train,50,0.77783
4,train,60,0.74023
4,train,70,0.83594
4,train,80,0.75928
4,train,90,0.7793
4,train,100,0.81055
4,train,110,0.8125
4,train,120,0.84424
5,train,10,0.77295
5,train,20,0.66846
5,train,30,0.79297
5,train,40,0.78027
5,train,50,0.67578
5,train,60,0.75537
5,train,70,0.79883
5,train,80,0.70312
5,train,90,0.89062
5,train,100,0.8335
5,train,110,0.72852
5,train,120,0.77441
6,train,10,0.87744
6,train,20,0.76953
6,train,30,0.74219
6,train,40,0.67871
6,train,50,0.66309
6,train,60,0.88721
6,train,70,0.71387
6,train,80,0.70215
6,train,90,0.64844
6,train,100,0.7124
6,train,110,0.61035
6,train,120,0.74561
7,train,10,0.93896
7,train,20,0.75
7,train,30,0.62012
7,train,40,0.63086
7,train,50,0.91113
7,train,60,0.82129
7,train,70,0.4436
7,train,80,0.77881
7,train,90,0.41553
7,train,100,0.70752
7,train,110,0.75879
7,train,120,0.70361
8,train,10,0.37598
8,train,20,0.68311
8,train,30,0.43701
8,train,40,0.4917
8,train,50,0.60254
8,train,60,0.76709
8,train,70,0.51855
8,train,80,0.63623
8,train,90,0.90771
8,train,100,0.43091
8,train,110,0.32568
8,train,120,0.45068
9,train,10,0.38501
9,train,20,0.35864
9,train,30,0.58887
9,train,40,0.3855
9,train,50,0.6001
9,train,60,0.46899
9,train,70,0.4187
9,train,80,0.39136
9,train,90,0.72461
9,train,100,0.31616
9,train,110,0.68066
9,train,120,0.31567
10,train,10,0.17139
10,train,20,0.71973
10,train,30,0.14551
10,train,40,0.28125
10,train,50,0.66602
10,train,60,0.3623
10,train,70,0.31641
10,train,80,0.55029
10,train,90,0.20532
10,train,100,0.25806
10,train,110,0.35132
10,train,120,0.44116
