epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.78951,0.78676,0.51504,0.44064,0.63148,0.57411
2,0.78331,0.78484,0.54039,0.48175,0.56778,0.51757
3,0.77644,0.78624,0.57597,0.48879,0.5963,0.59512
4,0.77265,0.78254,0.5861,0.51579,0.61,0.56052
5,0.74537,0.76378,0.66242,0.58683,0.66185,0.61927
6,0.73008,0.67561,0.68249,0.60282,0.77556,0.69181
7,0.64304,0.69896,0.79402,0.72885,0.77889,0.74975
8,0.58272,0.61451,0.83673,0.78123,0.82037,0.77089
9,0.52898,0.53923,0.86213,0.79495,0.85963,0.81192
10,0.40577,0.70649,0.92508,0.896,0.83481,0.75615
