epoch,split,iteration,loss
1,train,10,0.79053
1,train,20,0.79102
1,train,30,0.86475
1,train,40,0.74316
1,train,50,0.85938
1,train,60,0.73779
1,train,70,0.81543
1,train,80,0.83838
1,train,90,0.78125
1,train,100,0.77832
1,train,110,0.68799
1,train,120,0.85791
2,train,10,0.7959
2,train,20,0.79297
2,train,30,0.67383
2,train,40,0.78662
2,train,50,0.78906
2,train,60,0.79004
2,train,70,0.76074
2,train,80,0.77832
2,train,90,0.73145
2,train,100,0.78271
2,train,110,0.6499
2,train,120,0.78467
3,train,10,0.74854
3,train,20,0.76172
3,train,30,0.81152
3,train,40,0.78613
3,train,50,0.7998
3,train,60,0.85742
3,train,70,0.72021
3,train,80,0.78662
3,train,90,0.69189
3,train,100,0.76074
3,train,110,0.65723
3,train,120,0.77686
4,train,10,0.76221
4,train,20,0.81396
4,train,30,0.67529
4,train,40,0.76855
4,train,50,0.66162
4,train,60,0.79102
4,train,70,0.84424
4,train,80,0.8125
4,train,90,0.80127
4,train,100,0.7832
4,train,110,0.70801
4,train,120,0.60938
5,train,10,0.58203
5,train,20,0.68945
5,train,30,0.66699
5,train,40,0.59375
5,train,50,0.54785
5,train,60,0.57275
5,train,70,0.76611
5,train,80,0.67969
5,train,90,0.60059
5,train,100,0.69141
5,train,110,0.47461
5,train,120,0.55859
6,train,10,0.44629
6,train,20,0.69238
6,train,30,0.61035
6,train,40,0.89209
6,train,50,0.66309
6,train,60,0.81006
6,train,70,0.67041
6,train,80,0.45605
6,train,90,0.53809
6,train,100,0.43286
6,train,110,0.58057
6,train,120,0.53711
7,train,10,0.56396
7,train,20,0.68555
7,train,30,0.67334
7,train,40,0.48462
7,train,50,0.50635
7,train,60,0.44531
7,train,70,0.76123
7,train,80,0.47021
7,train,90,0.63721
7,train,100,0.37402
7,train,110,0.47437
7,train,120,0.47437
8,train,10,0.1748
8,train,20,0.32959
8,train,30,0.15515
8,train,40,0.30957
8,train,50,0.2793
8,train,60,0.26074
8,train,70,0.25562
8,train,80,0.76855
8,train,90,0.59473
8,train,100,0.56396
8,train,110,0.52734
8,train,120,0.85596
