epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.79845,0.79579,0.46903,0.41767,0.58259,0.52565
2,0.78906,0.78903,0.50356,0.4449,0.58037,0.5241
3,0.78455,0.78624,0.52053,0.46633,0.62778,0.55305
4,0.78281,0.78571,0.54562,0.46367,0.58667,0.58501
5,0.77648,0.79538,0.57466,0.51541,0.63148,0.60279
6,0.77088,0.77947,0.60426,0.51474,0.61444,0.57271
7,0.72452,0.70578,0.71337,0.63506,0.76963,0.70152
8,0.63331,0.63014,0.80312,0.75041,0.81185,0.77155
9,0.49763,0.96763,0.88786,0.84948,0.76185,0.69503
10,0.34744,0.82146,0.94157,0.92195,0.72556,0.67373
11,0.18212,1.48869,0.97765,0.96068,0.66963,0.57755
