epoch,split,iteration,loss
1,train,10,0.74658
1,train,20,0.80078
1,train,30,0.77393
1,train,40,0.75781
1,train,50,0.76709
1,train,60,0.75098
1,train,70,0.7583
1,train,80,0.75049
1,train,90,0.76025
1,train,100,0.78857
1,train,110,0.78857
1,train,120,0.72314
2,train,10,0.79297
2,train,20,0.7998
2,train,30,0.76904
2,train,40,0.7959
2,train,50,0.73193
2,train,60,0.80762
2,train,70,0.86182
2,train,80,0.72021
2,train,90,0.8291
2,train,100,0.83984
2,train,110,0.78955
2,train,120,0.76465
3,train,10,0.79199
3,train,20,0.79932
3,train,30,0.78467
3,train,40,0.75293
3,train,50,0.8457
3,train,60,0.74072
3,train,70,0.66797
3,train,80,0.80176
3,train,90,0.78271
3,train,100,0.81787
3,train,110,0.80127
3,train,120,0.79492
4,train,10,0.77148
4,train,20,0.72461
4,train,30,0.86719
4,train,40,0.80322
4,train,50,0.81201
4,train,60,0.76514
4,train,70,0.75146
4,train,80,0.73633
4,train,90,0.78076
4,train,100,0.74072
4,train,110,0.78711
4,train,120,0.74463
5,train,10,0.75684
5,train,20,0.77588
5,train,30,0.7959
5,train,40,0.77246
5,train,50,0.73242
5,train,60,0.81104
5,train,70,0.70508
5,train,80,0.75488
5,train,90,0.78564
5,train,100,0.76562
5,train,110,0.87988
5,train,120,0.6499
6,train,10,0.76953
6,train,20,0.75391
6,train,30,0.71143
6,train,40,0.8125
6,train,50,0.76758
6,train,60,0.79883
6,train,70,0.79004
6,train,80,0.8252
6,train,90,0.81201
6,train,100,0.72754
6,train,110,0.66748
6,train,120,0.61133
7,train,10,0.72314
7,train,20,0.65234
7,train,30,0.7583
7,train,40,0.65625
7,train,50,0.8208
7,train,60,0.76074
7,train,70,0.90137
7,train,80,0.62012
7,train,90,0.55615
7,train,100,0.68213
7,train,110,0.78809
7,train,120,0.60498
8,train,10,0.42896
8,train,20,0.57422
8,train,30,0.73877
8,train,40,0.71387
8,train,50,0.55469
8,train,60,0.46411
8,train,70,0.50342
8,train,80,0.66406
8,train,90,0.56934
8,train,100,0.86572
8,train,110,0.87793
8,train,120,0.30005
9,train,10,0.65918
9,train,20,0.53223
9,train,30,0.52441
9,train,40,0.33936
9,train,50,0.62256
9,train,60,0.53906
9,train,70,0.50049
9,train,80,0.45288
9,train,90,0.41748
9,train,100,0.27246
9,train,110,0.375
9,train,120,0.271
10,train,10,0.41602
10,train,20,0.62598
10,train,30,0.15845
10,train,40,0.20508
10,train,50,0.79102
10,train,60,0.33569
10,train,70,0.44873
10,train,80,0.13489
10,train,90,0.39868
10,train,100,0.46753
10,train,110,0.15625
10,train,120,0.54785
11,train,10,0.21606
11,train,20,0.07434
11,train,30,0.06003
11,train,40,0.33008
11,train,50,0.06799
11,train,60,0.13928
11,train,70,0.32642
11,train,80,0.08484
11,train,90,0.03729
11,train,100,0.04901
11,train,110,0.03729
11,train,120,0.03363
