epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,epoch_time_min
1,0.68476,0.69287,0.50847,0.43265,0.57074,0.53563,12.35
2,0.68381,0.69298,0.51608,0.44316,0.54519,0.51932,12.58
3,0.68307,0.6928,0.52891,0.47291,0.56481,0.53964,12.56
4,0.68143,0.69081,0.54923,0.48729,0.55259,0.50962,12.49
5,0.67878,0.68802,0.57708,0.49725,0.60185,0.5465,12.43
6,0.67141,0.6793,0.63224,0.57439,0.70481,0.66501,12.31
7,0.6552,0.66466,0.72141,0.67585,0.75815,0.7353,12.84
8,0.62962,0.65025,0.83262,0.7957,0.78185,0.75555,12.86
9,0.58664,0.63299,0.87751,0.84471,0.76185,0.71257,12.65
10,0.50682,0.62584,0.94618,0.93511,0.74593,0.71435,12.67
