epoch,split,iteration,loss
1,train,10,0.6748
1,train,20,0.75439
1,train,30,0.71729
1,train,40,0.66699
1,train,50,0.77832
1,train,60,0.64893
1,train,70,0.67432
1,train,80,0.63672
1,train,90,0.65234
1,train,100,0.61865
1,train,110,0.77246
1,train,120,0.73682
2,train,10,0.63281
2,train,20,0.67139
2,train,30,0.68896
2,train,40,0.7207
2,train,50,0.66406
2,train,60,0.72754
2,train,70,0.64746
2,train,80,0.66797
2,train,90,0.65332
2,train,100,0.79395
2,train,110,0.64551
2,train,120,0.59082
3,train,10,0.72461
3,train,20,0.63086
3,train,30,0.64355
3,train,40,0.67627
3,train,50,0.61523
3,train,60,0.62402
3,train,70,0.625
3,train,80,0.71875
3,train,90,0.67969
3,train,100,0.72119
3,train,110,0.63086
3,train,120,0.79395
4,train,10,0.66504
4,train,20,0.6958
4,train,30,0.70898
4,train,40,0.67432
4,train,50,0.68896
4,train,60,0.65186
4,train,70,0.67773
4,train,80,0.63477
4,train,90,0.72998
4,train,100,0.65527
4,train,110,0.72363
4,train,120,0.67627
5,train,10,0.66992
5,train,20,0.80859
5,train,30,0.61328
5,train,40,0.69434
5,train,50,0.81152
5,train,60,0.66797
5,train,70,0.68262
5,train,80,0.64941
5,train,90,0.68018
5,train,100,0.65674
5,train,110,0.76514
5,train,120,0.69189
6,train,10,0.66406
6,train,20,0.5918
6,train,30,0.69092
6,train,40,0.57715
6,train,50,0.58936
6,train,60,0.74316
6,train,70,0.60352
6,train,80,0.72998
6,train,90,0.67578
6,train,100,0.65283
6,train,110,0.68701
6,train,120,0.67041
7,train,10,0.66309
7,train,20,0.60645
7,train,30,0.7041
7,train,40,0.69629
7,train,50,0.64502
7,train,60,0.69189
7,train,70,0.62793
7,train,80,0.67578
7,train,90,0.80273
7,train,100,0.67627
7,train,110,0.6499
7,train,120,0.6543
8,train,10,0.61719
8,train,20,0.65967
8,train,30,0.59863
8,train,40,0.68604
8,train,50,0.58545
8,train,60,0.62451
8,train,70,0.63184
8,train,80,0.60449
8,train,90,0.52734
8,train,100,0.6499
8,train,110,0.66943
8,train,120,0.58301
9,train,10,0.55176
9,train,20,0.60986
9,train,30,0.48486
9,train,40,0.64746
9,train,50,0.7085
9,train,60,0.55664
9,train,70,0.55078
9,train,80,0.5498
9,train,90,0.62012
9,train,100,0.48633
9,train,110,0.59131
9,train,120,0.51611
10,train,10,0.56201
10,train,20,0.73877
10,train,30,0.57178
10,train,40,0.46997
10,train,50,0.61328
10,train,60,0.53516
10,train,70,0.52637
10,train,80,0.64551
10,train,90,0.54102
10,train,100,0.45947
10,train,110,0.448
10,train,120,0.43848
