epoch,split,iteration,loss
1,train,10,0.62451
1,train,20,0.61768
1,train,30,0.5874
1,train,40,0.59863
1,train,50,0.55713
1,train,60,0.61523
1,train,70,0.55762
1,train,80,0.54004
1,train,90,0.58301
1,train,100,0.41016
1,train,110,0.52979
1,train,120,0.479
2,train,10,0.50635
2,train,20,0.48657
2,train,30,0.40088
2,train,40,0.72949
2,train,50,0.43579
2,train,60,0.51562
2,train,70,0.41431
2,train,80,0.42017
2,train,90,0.45435
2,train,100,0.26855
2,train,110,0.42017
2,train,120,0.47314
3,train,10,0.62207
3,train,20,0.41943
3,train,30,0.4624
3,train,40,0.57129
3,train,50,0.58643
3,train,60,0.51611
3,train,70,0.3103
3,train,80,0.51318
3,train,90,0.36719
3,train,100,0.52344
3,train,110,0.36377
3,train,120,0.56104
4,train,10,0.57812
4,train,20,0.89941
4,train,30,0.3042
4,train,40,0.37183
4,train,50,0.64111
4,train,60,0.45068
4,train,70,0.5
4,train,80,0.18103
4,train,90,0.36084
4,train,100,0.32471
4,train,110,0.34399
4,train,120,0.26025
5,train,10,0.60986
5,train,20,0.34717
5,train,30,0.35278
5,train,40,0.38818
5,train,50,0.38452
5,train,60,0.48413
5,train,70,0.55078
5,train,80,0.55713
5,train,90,0.80615
5,train,100,0.34009
5,train,110,0.43066
5,train,120,0.52148
6,train,10,0.25757
6,train,20,0.3606
6,train,30,0.46729
6,train,40,0.50195
6,train,50,0.46875
6,train,60,0.39648
6,train,70,0.26147
6,train,80,0.45825
6,train,90,0.73096
6,train,100,0.33472
6,train,110,0.4563
6,train,120,0.62451
7,train,10,0.63232
7,train,20,0.46533
7,train,30,0.65039
7,train,40,0.54932
7,train,50,0.36108
7,train,60,0.479
7,train,70,0.36523
7,train,80,0.38281
7,train,90,0.2854
7,train,100,0.37329
7,train,110,0.26782
7,train,120,0.37036
8,train,10,0.55469
8,train,20,0.52832
8,train,30,0.37158
8,train,40,0.31445
8,train,50,0.36987
8,train,60,0.50049
8,train,70,0.48804
8,train,80,0.42188
8,train,90,0.24377
8,train,100,0.47119
8,train,110,0.50781
8,train,120,0.37109
9,train,10,0.35303
9,train,20,0.58838
9,train,30,0.59619
9,train,40,0.55762
9,train,50,0.48242
9,train,60,0.5293
9,train,70,0.39282
9,train,80,0.76318
9,train,90,0.29175
9,train,100,0.58936
9,train,110,0.35571
9,train,120,0.5415
10,train,10,0.29248
10,train,20,0.41895
10,train,30,0.47046
10,train,40,0.36768
10,train,50,0.60059
10,train,60,0.21167
10,train,70,0.36792
10,train,80,0.29517
10,train,90,0.41138
10,train,100,0.35767
10,train,110,0.46655
10,train,120,0.27197
11,train,10,0.42554
11,train,20,0.35132
11,train,30,0.74316
11,train,40,0.40186
11,train,50,0.22058
11,train,60,0.42065
11,train,70,0.30908
11,train,80,0.35107
11,train,90,0.39673
11,train,100,0.39307
11,train,110,0.28955
11,train,120,0.40283
12,train,10,0.50098
12,train,20,0.31519
12,train,30,0.50488
12,train,40,0.65625
12,train,50,0.28979
12,train,60,0.20984
12,train,70,0.43335
12,train,80,0.35864
12,train,90,0.37939
12,train,100,0.64355
12,train,110,0.33643
12,train,120,0.56348
13,train,10,0.25146
13,train,20,0.46167
13,train,30,0.34985
13,train,40,0.29346
13,train,50,0.45142
13,train,60,0.42334
13,train,70,0.39014
13,train,80,0.4812
13,train,90,0.28247
13,train,100,0.31543
13,train,110,0.52588
13,train,120,0.20007
14,train,10,0.64453
14,train,20,0.38159
14,train,30,0.39014
14,train,40,0.42383
14,train,50,0.58252
14,train,60,0.46533
14,train,70,0.52783
14,train,80,0.50635
14,train,90,0.21387
14,train,100,0.40576
14,train,110,0.46704
14,train,120,0.33032
15,train,10,0.53906
15,train,20,0.37476
15,train,30,0.32349
15,train,40,0.57764
15,train,50,0.33081
15,train,60,0.22339
15,train,70,0.4873
15,train,80,0.27417
15,train,90,0.25415
15,train,100,0.45752
15,train,110,0.33081
15,train,120,0.47632
16,train,10,0.23169
16,train,20,0.31006
16,train,30,0.49634
16,train,40,0.34106
16,train,50,0.21387
16,train,60,0.41162
16,train,70,0.50586
16,train,80,0.39282
16,train,90,0.26343
16,train,100,0.41577
16,train,110,0.14355
16,train,120,0.27954
17,train,10,0.35547
17,train,20,0.35522
17,train,30,0.47852
17,train,40,0.45117
17,train,50,0.40723
17,train,60,0.75879
17,train,70,0.43726
17,train,80,0.23535
17,train,90,0.46265
17,train,100,0.4397
17,train,110,0.71191
17,train,120,0.40454
18,train,10,0.17896
18,train,20,0.39062
18,train,30,0.42383
18,train,40,0.30518
18,train,50,0.35449
18,train,60,0.39771
18,train,70,0.28857
18,train,80,0.19885
18,train,90,0.24072
18,train,100,0.32227
18,train,110,0.49756
18,train,120,0.35254
19,train,10,0.46924
19,train,20,0.24902
19,train,30,0.39038
19,train,40,0.3479
19,train,50,0.16406
19,train,60,0.2395
19,train,70,0.22681
19,train,80,0.22229
19,train,90,0.23901
19,train,100,0.38257
19,train,110,0.2959
19,train,120,0.26978
20,train,10,0.18628
20,train,20,0.19141
20,train,30,0.18445
20,train,40,0.35767
20,train,50,0.37744
20,train,60,0.21484
20,train,70,0.13098
20,train,80,0.32861
20,train,90,0.19214
20,train,100,0.35254
20,train,110,0.25781
20,train,120,0.33691
