epoch,split,iteration,loss
1,train,10,0.70752
1,train,20,0.6958
1,train,30,0.67578
1,train,40,0.67383
1,train,50,0.68262
1,train,60,0.63379
2,train,10,0.64844
2,train,20,0.59912
2,train,30,0.70898
2,train,40,0.70898
2,train,50,0.77246
2,train,60,0.77148
3,train,10,0.75391
3,train,20,0.68408
3,train,30,0.66846
3,train,40,0.70312
3,train,50,0.69922
3,train,60,0.72852
4,train,10,0.62646
4,train,20,0.65869
4,train,30,0.69238
4,train,40,0.62305
4,train,50,0.62646
4,train,60,0.61914
5,train,10,0.6958
5,train,20,0.70264
5,train,30,0.62061
5,train,40,0.62451
5,train,50,0.61816
5,train,60,0.66748
6,train,10,0.70557
6,train,20,0.69824
6,train,30,0.68457
6,train,40,0.59863
6,train,50,0.70557
6,train,60,0.6792
7,train,10,0.70361
7,train,20,0.64551
7,train,30,0.7251
7,train,40,0.70703
7,train,50,0.6543
7,train,60,0.62793
8,train,10,0.59033
8,train,20,0.71484
8,train,30,0.64062
8,train,40,0.79102
8,train,50,0.67578
8,train,60,0.67676
9,train,10,0.66553
9,train,20,0.62305
9,train,30,0.71387
9,train,40,0.68848
9,train,50,0.65381
9,train,60,0.69092
10,train,10,0.71582
10,train,20,0.64111
10,train,30,0.67041
10,train,40,0.6416
10,train,50,0.61182
10,train,60,0.6582
11,train,10,0.68115
11,train,20,0.66406
11,train,30,0.59717
11,train,40,0.61572
11,train,50,0.68604
11,train,60,0.60352
12,train,10,0.68506
12,train,20,0.72803
12,train,30,0.65186
12,train,40,0.72461
12,train,50,0.64795
12,train,60,0.66553
13,train,10,0.64844
13,train,20,0.55811
13,train,30,0.71973
13,train,40,0.56982
13,train,50,0.57324
13,train,60,0.5127
14,train,10,0.60547
14,train,20,0.62939
14,train,30,0.6333
14,train,40,0.60889
14,train,50,0.55859
14,train,60,0.68115
15,train,10,0.52197
15,train,20,0.52246
15,train,30,0.46265
15,train,40,0.51074
15,train,50,0.44727
15,train,60,0.66064
16,train,10,0.43164
16,train,20,0.43604
16,train,30,0.45557
16,train,40,0.63916
16,train,50,0.49536
16,train,60,0.43579
17,train,10,0.45996
17,train,20,0.37549
17,train,30,0.33179
17,train,40,0.41528
17,train,50,0.39331
17,train,60,0.38306
18,train,10,0.28638
18,train,20,0.32715
18,train,30,0.26611
18,train,40,0.27319
18,train,50,0.302
18,train,60,0.28198
19,train,10,0.24414
19,train,20,0.23108
19,train,30,0.26123
19,train,40,0.20898
19,train,50,0.18469
19,train,60,0.22681
20,train,10,0.12988
20,train,20,0.12
20,train,30,0.22241
20,train,40,0.1814
20,train,50,0.12878
20,train,60,0.19275
21,train,10,0.09918
21,train,20,0.09503
21,train,30,0.11487
21,train,40,0.19385
21,train,50,0.08716
21,train,60,0.11206
22,train,10,0.08282
22,train,20,0.11859
22,train,30,0.08978
22,train,40,0.05142
22,train,50,0.05716
22,train,60,0.0481
23,train,10,0.06628
23,train,20,0.05884
23,train,30,0.05438
23,train,40,0.07739
23,train,50,0.03613
23,train,60,0.04272
24,train,10,0.06009
24,train,20,0.06323
24,train,30,0.04453
24,train,40,0.04514
24,train,50,0.04776
24,train,60,0.0484
